Quota Year,IFQ Species,Sector Quota Pounds (A),Carryover Quota Pounds (B),Catch To Date (C),Quota Pounds Remaining (A+B-C),Metric ton
2018,Arrowtooth flounder,"24,234,535",0,"2,250,989","21,983,546",9971.552
2018,Bocaccio rockfish South of 40°10' N.,"624,570","51,862","395,552","280,880",127.405
2018,Canary rockfish,"2,235,708",0,"1,009,114","1,226,594",556.373
2018,Chilipepper rockfish South of 40°10' N.,"4,069,292",0,"637,185","3,432,107",1556.775
2018,Cowcod South of 40°10' N.,"3,086",254,922,"2,418",1.097
2018,Darkblotched rockfish,"1,142,876",0,"580,646","562,230",255.023
2018,Dover sole,"101,370,753","9,693,561","14,050,212","97,014,102",44004.785
2018,English sole,"15,328,741",0,"472,216","14,856,525",6738.795
2018,Lingcod North of 40°10' N.,"2,776,325",0,"966,919","1,809,406",820.731
2018,Lingcod South of 40°10' N.,"1,126,011",0,"114,108","1,011,903",458.991
2018,Longspine thornyheads North of 34°27' N.,"5,644,275",0,"774,620","4,869,655",2208.835
2018,Minor shelf rockfish North of 40°10' N.,"2,528,261","2,154","598,814","1,931,601",876.158
2018,Minor shelf rockfish South of 40°10' N.,"424,169","2,161","12,133","414,197",187.876
2018,Minor slope rockfish North of 40°10' N.,"2,795,461",0,"452,452","2,343,009",1062.769
2018,Minor slope rockfish South of 40°10' N.,"956,586","21,985","163,336","815,235",369.784
2018,Other flatfish,"13,997,810",0,"1,355,933","12,641,877",5734.25
2018,Pacific cod,"2,273,848","197,270","14,229","2,456,889",1114.424
2018,Pacific halibut (IBQ) North of 40°10' N.,"176,072","12,205","68,910","119,367",54.144
2018,Pacific ocean perch North of 40°10' N.,"437,177","37,958","196,224","278,911",126.512
2018,Pacific whiting,"372,861,210",0,"287,141,369","85,719,841",38881.802
2018,Petrale sole,"5,794,851",0,"5,828,824","-33,973",-15.41
2018,Sablefish North of 36° N.,"5,559,838","107,331","5,085,672","581,497",263.762
2018,Sablefish South of 36° N.,"1,795,445","106,826","100,169","1,802,102",817.418
2018,Shortspine thornyheads North of 34°27' N.,"3,388,505",0,"1,417,794","1,970,711",893.898
2018,Shortspine thornyheads South of 34°27' N.,"110,231",0,0,"110,231",50
2018,Splitnose rockfish South of 40°10' N.,"3,665,846",0,"77,895","3,587,951",1627.465
2018,Starry flounder,"1,390,896",0,"3,606","1,387,290",629.263
2018,Widow rockfish,"23,504,584",0,"22,802,755","701,829",318.344
2018,Yelloweye rockfish,"2,425",199,283,"2,341",1.062
2018,Yellowtail rockfish North of 40°10' N.,"8,984,719",0,"6,812,607","2,172,112",985.252
