Quota Year,IFQ Species,Sector Quota Pounds (A),Carryover Quota Pounds (B),Catch To Date (C),Quota Pounds Remaining (A+B-C),Metric ton
2020,Arrowtooth flounder,"22,161,527",0,"1,344,919","20,816,608",9442.239
2020,Bocaccio rockfish South of 40°10' N.,"1,691,166",0,"587,109","1,104,057",500.791
2020,Canary rockfish,"1,971,594",0,"746,715","1,224,879",555.595
2020,Chilipepper rockfish South of 40°10' N.,"3,844,420",0,"1,429,160","2,415,260",1095.542
2020,Cowcod South of 40°10' N.,"7,142",400,"1,767","5,775",2.619
2020,Darkblotched rockfish,"1,550,731",0,"599,595","951,136",431.427
2020,Dover sole,"101,366,784","9,264,371","10,415,534","100,215,621",45456.967
2020,English sole,"20,762,915",0,"279,127","20,483,788",9291.275
2020,Lingcod North of 40°10' N.,"4,196,278","37,429","725,591","3,508,116",1591.252
2020,Lingcod South of 40°10' N.,"850,984","78,443","127,028","802,399",363.961
2020,Longspine thornyheads North of 34°27' N.,"5,056,522",0,"241,665","4,814,857",2183.979
2020,Minor shelf rockfish North of 40°10' N.,"2,538,843",0,"1,147,544","1,391,299",631.082
2020,Minor shelf rockfish South of 40°10' N.,"415,791","2,166","48,031","369,926",167.795
2020,Minor slope rockfish North of 40°10' N.,"2,728,220",0,"492,822","2,235,398",1013.958
2020,Minor slope rockfish South of 40°10' N.,"1,003,985",0,"97,801","906,184",411.037
2020,Other flatfish,"11,447,282",0,"973,094","10,474,188",4751.004
2020,Pacific cod,"2,279,800","213,610","6,431","2,486,979",1128.073
2020,Pacific halibut (IBQ) North of 40°10' N.,"146,261","10,485","55,199","101,547",46.061
2020,Pacific ocean perch North of 40°10' N.,"7,941,491",0,"1,137,003","6,804,488",3086.459
2020,Pacific whiting,"360,162,583",0,"307,499,547","52,663,036",23887.512
2020,Petrale sole,"5,276,102",0,"4,600,538","675,564",306.43
2020,Sablefish North of 36° N.,"5,813,148","189,906","3,981,876","2,021,178",916.789
2020,Sablefish South of 36° N.,"1,877,677","80,973","173,523","1,785,127",809.719
2020,Shortspine thornyheads North of 34°27' N.,"3,292,603",0,"790,587","2,502,016",1134.894
2020,Shortspine thornyheads South of 34°27' N.,"110,231",0,0,"110,231",50
2020,Splitnose rockfish South of 40°10' N.,"3,590,668",0,"38,536","3,552,132",1611.217
2020,Starry flounder,"466,498",0,403,"466,095",211.417
2020,Widow rockfish,"20,695,012",0,"18,380,011","2,315,001",1050.065
2020,Yelloweye rockfish,"7,495",682,831,"7,346",3.332
2020,Yellowtail rockfish North of 40°10' N.,"8,924,312",0,"7,514,183","1,410,129",639.623
