Quota Year,IFQ Species,Sector Quota Pounds (A),Carryover Quota Pounds (B),Catch To Date (C),Quota Pounds Remaining (A+B-C),Metric ton
2019,Arrowtooth flounder,"28,076,090",0,"1,876,967","26,199,123",11883.703
2019,Bocaccio rockfish South of 40°10' N.,"1,765,241",0,"713,966","1,051,275",476.85
2019,Canary rockfish,"2,102,328",0,"930,813","1,171,515",531.389
2019,Chilipepper rockfish South of 40°10' N.,"4,052,758",0,"1,095,176","2,957,582",1341.534
2019,Cowcod South of 40°10' N.,"4,850",239,"1,718","3,371",1.529
2019,Darkblotched rockfish,"1,451,524",0,"726,480","725,044",328.874
2019,Dover sole,"101,366,784","8,894,757","12,735,662","97,525,879",44236.922
2019,English sole,"20,668,558",0,"454,368","20,214,190",9168.987
2019,Lingcod North of 40°10' N.,"4,523,665","30,822","942,999","3,611,488",1638.141
2019,Lingcod South of 40°10' N.,"1,019,638","87,227","179,752","927,113",420.531
2019,Longspine thornyheads North of 34°27' N.,"5,335,187",0,"609,239","4,725,948",2143.65
2019,Minor shelf rockfish North of 40°10' N.,"2,546,780",0,"1,029,007","1,517,773",688.449
2019,Minor shelf rockfish South of 40°10' N.,"415,792",0,"33,571","382,221",173.372
2019,Minor slope rockfish North of 40°10' N.,"2,753,133",0,"598,563","2,154,570",977.295
2019,Minor slope rockfish South of 40°10' N.,"2,312,870",0,"98,117","2,214,753",1004.593
2019,Other flatfish,"12,354,044",0,"1,004,458","11,349,586",5148.077
2019,Pacific cod,"2,279,800","210,225","12,471","2,477,554",1123.798
2019,Pacific halibut (IBQ) North of 40°10' N.,"153,392","14,283","69,626","98,049",44.474
2019,Pacific ocean perch North of 40°10' N.,"8,151,151",0,"1,023,654","7,127,497",3232.973
2019,Pacific whiting,"372,859,069",0,"319,409,466","53,449,603",24244.293
2019,Petrale sole,"5,407,939",0,"5,273,553","134,386",60.956
2019,Sablefish North of 36° N.,"5,690,792","250,532","5,637,247","304,077",137.927
2019,Sablefish South of 36° N.,"1,838,655","88,902","187,194","1,740,363",789.414
2019,Shortspine thornyheads North of 34°27' N.,"3,321,925",0,"1,201,993","2,119,932",961.583
2019,Shortspine thornyheads South of 34°27' N.,"110,231",0,0,"110,231",50
2019,Splitnose rockfish South of 40°10' N.,"3,630,352",0,"32,246","3,598,106",1632.071
2019,Starry flounder,"466,498",0,322,"466,176",211.454
2019,Widow rockfish,"21,889,257",0,"20,545,092","1,344,165",609.702
2019,Yelloweye rockfish,"7,496",192,"1,141","6,547",2.97
2019,Yellowtail rockfish North of 40°10' N.,"9,492,664",0,"7,011,379","2,481,285",1125.49
