Quota Year,IFQ Species,Price / lb.,Trades YTD
2013,Arrowtooth flounder,     $0.01,5
2013,Bocaccio rockfish South of 40°10' N.,     $0.20,4
2013,Canary rockfish,     $3.09,12
2013,Chilipepper rockfish South of 40°10' N.,     $0.02,5
2013,Cowcod South of 40°10' N.,Not Enough Data,Not Enough Data
2013,Darkblotched rockfish,     $0.53,10
2013,Dover sole,Not Enough Data,2
2013,English sole,Not Enough Data,Not Enough Data
2013,Lingcod North of 40°10' N.,Not Enough Data,Not Enough Data
2013,Lingcod South of 40°10' N.,Not Enough Data,Not Enough Data
2013,Longspine thornyheads North of 34°27' N.,     $0.05,14
2013,Minor shelf rockfish North of 40°10' N.,Not Enough Data,Not Enough Data
2013,Minor shelf rockfish South of 40°10' N.,     $0.04,5
2013,Minor slope rockfish North of 40°10' N.,     $0.03,3
2013,Minor slope rockfish South of 40°10' N.,     $0.05,7
2013,Other flatfish,Not Enough Data,Not Enough Data
2013,Pacific cod,Not Enough Data,Not Enough Data
2013,Pacific halibut (IBQ) North of 40°10' N.,     $1.76,21
2013,Pacific ocean perch North of 40°10' N.,     $0.75,14
2013,Pacific whiting,     $0.04,53
2013,Petrale sole,     $0.25,50
2013,Sablefish North of 36° N.,     $0.88,66
2013,Sablefish South of 36° N.,     $0.26,8
2013,Shortspine thornyheads North of 34°27' N.,     $0.05,10
2013,Shortspine thornyheads South of 34°27' N.,Not Enough Data,Not Enough Data
2013,Splitnose rockfish South of 40°10' N.,Not Enough Data,Not Enough Data
2013,Starry flounder,Not Enough Data,Not Enough Data
2013,Widow rockfish,     $0.53,10
2013,Yelloweye rockfish,    $29.58,11
2013,Yellowtail rockfish North of 40°10' N.,     $0.03,6
