Quota Year,IFQ Species,Sector Quota Pounds (A),Carryover Quota Pounds (B),Catch To Date (C),Quota Pounds Remaining (A+B-C),Metric ton
2013,Arrowtooth flounder,"8,479,264","1,046,774","5,365,841","4,160,197",1887.031
2013,Bocaccio rockfish South of 40°10' N.,"165,126","13,164","28,332","149,958",68.02
2013,Canary rockfish,"87,964","5,286","22,526","70,724",32.08
2013,Chilipepper rockfish South of 40°10' N.,"2,423,983","271,898","870,774","1,825,107",827.853
2013,Cowcod South of 40°10' N.,"2,205",371,486,"2,090",.948
2013,Darkblotched rockfish,"587,976","51,832","256,485","383,323",173.872
2013,Dover sole,"49,018,682","4,786,648","17,583,083","36,222,247",16430.108
2013,English sole,"14,032,486","1,365,357","486,273","14,911,570",6763.763
2013,Lingcod North of 40°10' N.,"2,695,305","261,631","749,955","2,206,981",1001.068
2013,Lingcod South of 40°10' N.,"1,089,993","99,349","36,814","1,152,528",522.777
2013,Longspine thornyheads North of 34°27' N.,"4,100,267","355,537","2,400,808","2,054,996",932.129
2013,Minor shelf rockfish North of 40°10' N.,"1,119,948","113,037","65,686","1,167,299",529.477
2013,Minor shelf rockfish South of 40°10' N.,"178,574","18,317","44,443","152,448",69.149
2013,Minor slope rockfish North of 40°10' N.,"1,712,835","172,213","431,244","1,453,804",659.433
2013,Minor slope rockfish South of 40°10' N.,"829,181","81,022","258,778","651,425",295.481
2013,Other flatfish,"9,236,501","902,082","1,767,468","8,371,115",3797.068
2013,Pacific cod,"2,480,830","203,421","339,657","2,344,594",1063.488
2013,Pacific halibut (IBQ) North of 40°10' N.,"236,660","17,131","72,707","181,084",82.138
2013,Pacific ocean perch North of 40°10' N.,"241,241","19,478","108,062","152,657",69.244
2013,Pacific whiting,"216,707,790",0,"215,218,208","1,489,582",675.662
2013,Petrale sole,"5,110,315",0,"4,695,933","414,382",187.96
2013,Sablefish North of 36° N.,"4,030,050","256,838","4,080,318","206,570",93.698
2013,Sablefish South of 36° N.,"1,327,800","97,931","200,064","1,225,667",555.952
2013,Shortspine thornyheads North of 34°27' N.,"3,054,183","286,681","1,825,663","1,515,201",687.282
2013,Shortspine thornyheads South of 34°27' N.,"110,231","10,771","8,150","112,852",51.189
2013,Splitnose rockfish South of 40°10' N.,"3,346,838","312,109","101,757","3,557,190",1613.512
2013,Starry flounder,"1,656,774","139,500","7,705","1,788,569",811.28
2013,Widow rockfish,"2,191,016","68,882","907,513","1,352,385",613.431
2013,Yelloweye rockfish,"2,205",98,139,"2,164",.982
2013,Yellowtail rockfish North of 40°10' N.,"5,809,905","594,333","1,585,755","4,818,483",2185.624
