Quota Year,IFQ Species,Sector Quota Pounds (A),Carryover Quota Pounds (B),Catch To Date (C),Quota Pounds Remaining (A+B-C),Metric ton
2017,Arrowtooth flounder,"24,362,403",0,"3,035,967","21,326,436",9673.493
2017,Bocaccio rockfish South of 40°10' N.,"666,678","17,792","202,154","482,316",218.775
2017,Canary rockfish,"2,235,708",0,"559,313","1,676,395",760.399
2017,Chilipepper rockfish South of 40°10' N.,"4,234,639",0,"244,044","3,990,595",1810.1
2017,Cowcod South of 40°10' N.,"3,086",289,843,"2,532",1.148
2017,Darkblotched rockfish,"1,119,066",0,"400,730","718,336",325.831
2017,Dover sole,"101,370,753","9,537,999","16,196,041","94,712,711",42960.893
2017,English sole,"20,411,719",0,"560,878","19,850,841",9004.175
2017,Lingcod North of 40°10' N.,"2,997,625",0,"1,365,279","1,632,346",740.418
2017,Lingcod South of 40°10' N.,"1,232,164",0,"54,044","1,178,120",534.385
2017,Longspine thornyheads North of 34°27' N.,"5,952,040",0,"1,797,148","4,154,892",1884.624
2017,Minor shelf rockfish North of 40°10' N.,"2,531,127",0,"531,539","1,999,588",906.996
2017,Minor shelf rockfish South of 40°10' N.,"423,728","2,161","5,084","420,805",190.874
2017,Minor slope rockfish North of 40°10' N.,"2,797,225",0,"364,057","2,433,168",1103.665
2017,Minor slope rockfish South of 40°10' N.,"953,940","24,209","123,562","854,587",387.634
2017,Other flatfish,"16,436,343",0,"1,612,342","14,824,001",6724.043
2017,Pacific cod,"2,273,848","206,435","94,842","2,385,441",1082.016
2017,Pacific halibut (IBQ) North of 40°10' N.,"174,901","16,905","79,235","112,571",51.061
2017,Pacific ocean perch North of 40°10' N.,"437,177","24,447","206,893","254,731",115.544
2017,Pacific whiting,"373,787,151",0,"324,307,384","49,479,767",22443.608
2017,Petrale sole,"6,052,350",0,"6,066,861","-14,511",-6.582
2017,Sablefish North of 36° N.,"5,327,250","310,893","5,574,933","63,210",28.672
2017,Sablefish South of 36° N.,"1,721,369","135,090","249,530","1,606,929",728.89
2017,Shortspine thornyheads North of 34°27' N.,"3,420,031",0,"1,634,160","1,785,871",810.056
2017,Shortspine thornyheads South of 34°27' N.,"110,231",0,0,"110,231",50
2017,Splitnose rockfish South of 40°10' N.,"3,663,642",0,"28,675","3,634,967",1648.791
2017,Starry flounder,"1,390,896",0,"15,151","1,375,745",624.026
2017,Widow rockfish,"25,116,604",0,"13,050,990","12,065,614",5472.862
2017,Yelloweye rockfish,"2,425",202,367,"2,260",1.025
2017,Yellowtail rockfish North of 40°10' N.,"9,361,048",0,"5,437,061","3,923,987",1779.888
